Source DataFile                                                     ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
--------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\PICO_202206131620_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:22:32,    1655148151934,--Not Acquired--     ,--Not Acquired--     , -310.57,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    114.799,   344.320,   1236.240,    891.920,  0.7215,  2.5904,   331.34,  0.0000,     0.000,    0.000,  0.766,     2648,  0.210,    12604,  0.024,   356407,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.141,    36.51,    78.18,  0.129,       5.00,    0.000,    600.00, 1161.39,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131620_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:22:34,    1655148154096,--Not Acquired--     ,--Not Acquired--     , -308.35,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     70.245,   416.860,   1157.160,    740.300,  0.6398,  1.7759,   396.61,  0.0120,     0.000,    0.000,  0.797,     2710,  0.124,     7614,  0.079,    26125,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.400,    80.70,   193.72,  0.293,      14.16,    0.000,    600.00,  943.54,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131620_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:25:35,    1655148335198,--Not Acquired--     ,--Not Acquired--     , -284.29,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,     42.267,   738.770,   1219.010,    480.240,  0.3940,  0.6501,   392.71,  0.0000,     0.000,    0.000,  0.242,     1330,  0.691,     3249,  0.067,    62492,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.365,    62.71,   148.32,  0.174,      23.08,    0.000,    600.00,  609.27,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131620_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:25:37,    1655148337254,--Not Acquired--     ,--Not Acquired--     , -306.60,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     24.455,   379.560,   1111.330,    731.770,  0.6585,  1.9279,   422.61,  0.0000,     0.000,    0.000,  0.220,      538,  0.712,     3245,  0.067,    24011,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.545,    97.20,   247.39,  0.337,      15.33,    0.000,    600.00,  964.65,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131620_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:28:38,    1655148518359,--Not Acquired--     ,--Not Acquired--     , -252.94,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,     29.821,   926.570,   1250.760,    324.190,  0.2592,  0.3499,   342.74,  0.0000,     0.000,    0.000,  0.259,     1124,  0.675,     3104,  0.065,    54847,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.064,    81.07,   167.34,  0.128,      29.24,    0.000,    600.00,  427.51,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131620_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:28:40,    1655148520396,--Not Acquired--     ,--Not Acquired--     , -306.72,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     48.135,   383.780,   1069.420,    685.640,  0.6411,  1.7865,   400.01,  0.0000,     0.000,    0.000,  0.875,     2925,  0.118,    13686,  0.007,    67755,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.409,    89.01,   214.42,  0.243,      14.41,    0.000,    600.00,  942.13,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131620_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:31:41,    1655148701477,--Not Acquired--     ,--Not Acquired--     , -180.30,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.244,  1045.250,   1262.200,    216.950,  0.1719,  0.2076,   210.85,  0.0000,     0.000,    0.000,  0.594,      903,  0.349,     4077,  0.058,    70141,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.270,   130.94,   166.27,  0.123,      41.81,    0.007,    600.00,  162.21,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131620_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:31:43,    1655148703510,--Not Acquired--     ,--Not Acquired--     , -307.22,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     54.983,   394.750,   1050.430,    655.680,  0.6242,  1.6610,   386.73,  0.0000,     0.000,    0.000,  0.188,      671,  0.687,     3193,  0.125,    15667,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.329,   100.28,   233.54,  0.346,      15.87,    0.000,    600.00,  879.46,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131620_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:34:44,    1655148884583,--Not Acquired--     ,--Not Acquired--     , -309.68,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     96.441,   356.060,   1146.870,    790.810,  0.6895,  2.2210,   345.76,  0.0000,     0.000,    0.000,  0.819,     2947,  0.160,    14771,  0.021,   409113,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.257,    35.37,    79.83,  0.171,      10.54,    0.000,    600.00, 1004.69,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
