Source DataFile                                                              ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-----------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220618\PICO_202206181328_caloxy_MiSa1192_445_LL_data.csv , 2022/06/18, 13:30:43,    1655569843147,--Not Acquired--     ,--Not Acquired--     ,-3081.15,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.588,  1234.090,   1999.310,    765.220,  0.3827,  0.6201,   273.96,  0.0000,     0.000,    0.000,  0.472,      150,  0.233,     1423,  0.295,    31566,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.650,    62.39,   102.94,  0.157,      24.82,    0.005,    600.00,  406.43,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220618\PICO_202206181328_caloxy_MiSa1192_445_LL_data.csv , 2022/06/18, 13:30:45,    1655569845246,--Not Acquired--     ,--Not Acquired--     ,-3074.61,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.394,  1246.290,   1970.800,    724.510,  0.3676,  0.5813,   261.62,  0.0000,     0.000,    0.000,  0.492,      150,  0.217,     1384,  0.291,    30123,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.576,    69.42,   109.38,  0.123,      37.79,    0.004,    600.00,  301.87,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220618\PICO_202206181328_caloxy_MiSa1192_445_LL_data.csv , 2022/06/18, 13:33:46,    1655570026281,--Not Acquired--     ,--Not Acquired--     ,-3041.54,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.746,  1468.360,   1878.820,    410.460,  0.2185,  0.2795,   195.58,  0.0000,     0.000,    0.000,  0.701,      635,  0.149,     3885,  0.149,    46762,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.178,   106.02,   124.88,  0.160,      13.92,    0.013,    600.00,  206.75,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220618\PICO_202206181328_caloxy_MiSa1192_445_LL_data.csv , 2022/06/18, 13:33:48,    1655570028285,--Not Acquired--     ,--Not Acquired--     ,-3085.64,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.299,  1208.840,   1785.350,    576.510,  0.3229,  0.4769,   279.85,  0.0000,     0.000,    0.000,  0.448,      376,  0.353,     2250,  0.199,    31739,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.685,    81.48,   137.32,  0.052,      49.71,    0.000,    600.00,  334.93,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220618\PICO_202206181328_caloxy_MiSa1192_445_LL_data.csv , 2022/06/18, 13:36:49,    1655570209262,--Not Acquired--     ,--Not Acquired--     ,-2990.05,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.559,  1562.890,   1901.320,    338.430,  0.1780,  0.2165,   170.62,  0.0000,     0.000,    0.000,  0.694,      535,  0.158,     3756,  0.149,    38290,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.028,   146.25,   150.27,  0.080,      33.56,    0.013,    600.00,  161.31,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220618\PICO_202206181328_caloxy_MiSa1192_445_LL_data.csv , 2022/06/18, 13:36:51,    1655570211266,--Not Acquired--     ,--Not Acquired--     ,-3077.92,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.245,  1196.510,   1773.680,    577.170,  0.3254,  0.4824,   282.83,  0.0000,     0.000,    0.000,  0.468,      365,  0.343,     2276,  0.189,    30785,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.703,    86.66,   147.61,  0.055,      48.08,    0.000,    600.00,  313.45,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220618\PICO_202206181328_caloxy_MiSa1192_445_LL_data.csv , 2022/06/18, 13:39:52,    1655570392250,--Not Acquired--     ,--Not Acquired--     ,-2875.64,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.151,  1674.530,   1982.760,    308.230,  0.1555,  0.1841,    78.42,  0.0000,     0.000,    0.000,  0.747,      541,  0.107,     2519,  0.146,    22107,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.472,   544.03,   256.92,  0.380,       8.14,    0.056,    600.00,   77.57,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220618\PICO_202206181328_caloxy_MiSa1192_445_LL_data.csv , 2022/06/18, 13:39:54,    1655570394243,--Not Acquired--     ,--Not Acquired--     ,-3083.75,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.975,  1189.070,   1759.520,    570.450,  0.3242,  0.4797,   282.64,  0.0000,     0.000,    0.000,  0.493,      345,  0.317,     2255,  0.190,    28951,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.702,    92.06,   156.69,  0.058,      49.64,    0.000,    600.00,  273.80,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220618\PICO_202206181328_caloxy_MiSa1192_445_LL_data.csv , 2022/06/18, 13:42:55,    1655570575240,--Not Acquired--     ,--Not Acquired--     ,-3083.98,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.528,  1201.070,   1817.980,    616.910,  0.3393,  0.5136,   278.87,  0.0000,     0.000,    0.000,  0.357,      356,  0.244,     2406,  0.398,    30043,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.679,    46.95,    78.84,  0.055,      43.16,    0.000,    600.00,  313.52,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
